Player;Age;Tm;TS%;FTr;TRB%;AST%;STL%
Otis Birdsong;22;KCK;0,53;0,325;4,8;14,1;1,7
Junior Bridgeman;24;MIL;0,539;0,216;8,2;13,4;1,7
Coby Dietrick;29;SAS;0,496;0,21;10;14;1,9
Eddie Johnson;22;ATL;0,535;0,293;4,4;18,9;2,5
Earl Tatum;24;IND;0,493;0,177;5,4;17,6;2,5
Paul Griffin;24;NOJ;0,506;0,439;13,2;11,4;2,1
Robert Reid;22;HOU;0,475;0,167;10,3;8,7;1,7
Dave Twardzik;27;POR;0,651;0,572;3,8;17,5;2,7
Steve Mix;30;PHI;0,576;0,393;8,3;12,7;2,1
John Johnson;30;SEA;0,453;0,212;8,6;17;1,1
Scott May;23;CHI;0,516;0,35;10;9,2;1,3
E,C, Coleman;27;GSW;0,493;0,123;10,6;7,1;1,7
Jim Brewer;26;CLE;0,456;0,256;13,9;7;1,5
Tree Rollins;22;ATL;0,521;0,285;16,7;6,3;1,5
Mark Olberding;21;SAS;0,557;0,473;11;8,9;1,1
John Mengelt;28;CHI;0,535;0,353;4;19,9;1,4
Spencer Haywood;28;NYK;0,505;0,158;12,9;9,9;0,9
Jim McElroy;24;NOJ;0,512;0,275;4;22,5;1,5
Mitch Kupchak;23;WSB;0,564;0,523;12,9;5,9;0,7
Bill Robinzine;25;KCK;0,512;0,4;15,8;5,6;1,9
Darryl Dawkins;21;PHI;0,608;0,381;16,3;6,8;0,9
Tom Owens;28;POR;0,546;0,435;16,4;13;0,9
Wil Jones;30;BUF;0,473;0,232;10,5;9,3;1,9
Ollie Johnson;28;ATL;0,514;0,21;8,3;10,5;2,2
Tom McMillen;25;ATL;0,535;0,255;13,5;7,4;0,9
James Edwards;22;IND;0,492;0,381;12,6;4,9;1
Walt Frazier;32;CLE;0,52;0,252;6,4;18,5;2,1
Charles Dudley;27;GSW;0,585;0,783;8,8;29,8;1,9
Jo Jo White;31;BOS;0,458;0,174;5,6;18,1;1,4
Caldwell Jones;27;PHI;0,509;0,426;17,6;6,9;0,7
Dennis Awtrey;29;PHO;0,47;0,413;9,6;11,5;0,5
Anthony Roberts;22;DEN;0,467;0,288;11,3;9,4;1,1
John Brown;26;ATL;0,557;0,494;10,3;9,1;1,6
Bingo Smith;31;CLE;0,47;0,161;6,6;8,9;1,1
Alex English;24;MIL;0,568;0,226;13,4;11,4;1,2
Ray Williams;23;NYK;0,485;0,3;7;30,9;3
Alvin Scott;22;PHO;0,543;0,518;11,9;6,9;1,5
Tom Burleson;25;KCK;0,515;0,472;16,2;11,3;1,8
Jamaal Wilkes;24;LAL;0,475;0,235;13;16,1;2,3
Allan Bristow;26;SAS;0,529;0,387;9,1;16,7;2,1
Tim Bassett;26;NJN;0,408;0,253;13,3;5,4;1,8
Larry Wright;23;WSB;0,52;0,188;3,4;25;2,1
John Williamson;26;IND;0,464;0,203;4;14;1,4
Jan Van Breda Kolff;26;NJN;0,435;0,421;8,3;9,1;1,6
Charlie Scott;29;LAL;0,49;0,279;5,4;21,6;1,9
Marvin Barnes;25;BUF;0,464;0,282;13,6;12,2;1,9
Corky Calhoun;27;POR;0,522;0,208;8,2;8,2;1,4
Len Elmore;25;IND;0,419;0,342;15,4;7,8;2,5
Bruce Seals;24;SEA;0,455;0,318;8,7;8,8;1,4
Tom Abernethy;23;LAL;0,544;0,275;10,3;9,7;1,9
Kent Benson;23;MIL;0,497;0,298;12,1;9,8;2,4
John Williamson;26;NJN;0,509;0,269;4;10,9;1,6
Joe Meriweather;24;NOJ;0,506;0,324;14;6,1;0,6
Al Skinner;25;DET;0,531;0,411;7,1;11,8;1,8
Lloyd Walton;24;MIL;0,476;0,241;3,2;24,1;2,7
Ernie Grunfeld;22;MIL;0,479;0,31;8,1;14,6;1,9
Joe Bryant;23;PHI;0,492;0,33;11,5;13,7;2
Brian Taylor;26;DEN;0,498;0,285;4,1;14,5;2,6
Darnell Hillman;28;NJN;0,499;0,409;13,4;5,8;1,7
Howard Porter;29;NJN;0,537;0,25;10,4;5,1;0,9
John Kuester;22;KCK;0,516;0,329;4,8;26,3;2,1
Bo Ellis;23;DEN;0,462;0,325;12,9;7,7;1,8
Cedric Maxwell;22;BOS;0,62;0,791;15,9;7,6;2
Mike Newlin;29;HOU;0,511;0,352;5,4;24,2;2,1
Lloyd Neal;27;POR;0,543;0,328;16,5;10,3;1,1
Toby Knight;22;NYK;0,499;0,209;14,2;4,3;1,9
Ed Ratleff;27;HOU;0,452;0,152;7,4;16,8;2,4
Tom Boswell;24;BOS;0,563;0,345;12,7;8,6;1
Mike Green;26;SAS;0,5;0,26;14,1;7,4;0,9
Larry Steele;28;POR;0,519;0,273;5,2;10,7;2,4
Ron Behagen;27;IND;0,46;0,324;14,3;8,4;1,3
Rickey Green;23;GSW;0,41;0,24;5,4;17,6;2,4
Jim Price;28;DEN;0,517;0,225;7,5;18,9;2,8
Charlie Scott;29;BOS;0,469;0,243;4,8;19,3;2,1
Bill Willoughby;20;BUF;0,472;0,22;10,9;4,9;1
John Lambert;25;CLE;0,435;0,143;15,3;4,7;1,2
Eddie Jordan;23;NJN;0,466;0,313;5;19,8;4,7
Bob Carrington;24;NJN;0,444;0,247;5,3;7,2;1,8
Glen Gondrezick;22;NYK;0,44;0,357;12,7;9,9;2,4
Kevin Stacom;26;BOS;0,452;0,147;5,4;16,3;1,3
Wally Walker;23;SEA;0,469;0,267;10,2;10;1,1
Mack Calvin;30;DEN;0,551;0,619;4,4;20,1;2,1
Mike Flynn;24;IND;0,476;0,363;6;19,6;1,9
Adrian Dantley;21;IND;0,587;0,653;11,1;10,2;2,2
Mike Glenn;22;BUF;0,553;0,176;4,5;12,6;1,7
Phil Chenier;27;WSB;0,497;0,306;5,4;11,3;1,7
Greg Ballard;23;WSB;0,484;0,341;14,1;8,8;1,4
Mike Bratz;22;PHO;0,44;0,172;6,3;17,1;1,8
Tony Robertson;22;ATL;0,461;0,139;4,1;16,8;3,7
Mark Landsberger;22;CHI;0,539;0,625;17,7;6,3;1,1
Curtis Rowe;28;BOS;0,5;0,326;11,3;6,6;0,7
Bayard Forrest;23;PHO;0,478;0,433;14,5;17,8;1,1
Larry McNeill;27;BUF;0,543;0,462;11,5;7,5;0,9
Tom LaGarde;22;DEN;0,505;0,633;12,7;6,9;0,9
Kermit Washington;26;BOS;0,582;0,517;19,7;6,7;1,5
Kim Hughes;25;NJN;0,356;0,181;13,6;5,4;2,5
Ricky Marsh;23;GSW;0,443;0,114;4,5;13,9;1,5
Rudy Tomjanovich;29;HOU;0,513;0,181;8,6;5,9;0,8
Jim Price;28;DET;0,478;0,284;6,3;17,1;2,4
Terry Furlow;23;CLE;0,485;0,223;6,5;13,5;1,2
Curtis Perry;29;PHO;0,499;0,267;15,7;7,3;1,8
Nate Williams;27;GSW;0,47;0,165;7,1;7,8;2
Slick Watts;26;SEA;0,423;0,195;5,1;22,4;3
Charles Johnson;28;WSB;0,44;0,147;5,7;14;1,7
Gus Gerard;24;DET;0,47;0,262;9,5;7,8;1,9
Bob Nash;27;KCK;0,544;0,227;10,8;8,1;1,5
Alonzo Bradley;24;HOU;0,459;0,194;6,6;9,3;0,9
Cazzie Russell;33;CHI;0,479;0,188;5,7;11,5;1,1
Slick Watts;26;NOJ;0,423;0,36;6,1;27,3;3,1
T,R, Dunn;22;POR;0,448;0,233;10;7,6;2,8
Kermit Washington;26;LAL;0,492;0,451;19;5;1,1
Harvey Catchings;26;PHI;0,43;0,309;16,9;5,5;1,2
Darnell Hillman;28;DEN;0,525;0,388;16,4;9,4;0,8
Ralph Simpson;28;DET;0,454;0,185;5,8;16,8;1,9
Kenny Carr;22;LAL;0,476;0,281;14,5;4,7;1,1
Ted McClain;31;BUF;0,501;0,342;5,5;22,6;2,7
James Edwards;22;LAL;0,499;0,396;12,7;5,4;1
Tate Armstrong;22;CHI;0,487;0,096;5,2;15,7;1,5
Don Chaney;31;BOS;0,43;0,167;7,6;9,3;2,3
Steve Sheppard;23;CHI;0,48;0,214;10,2;9,2;0,9
Jim McDaniels;29;BUF;0,467;0,179;14;8,8;0,3
Dave Robisch;28;LAL;0,465;0,261;13,5;7,5;1,3
Bird Averitt;25;BUF;0,476;0,324;4;28,2;1,5
Earl Tatum;24;LAL;0,516;0,188;6,9;14,8;2,5
Dick Snyder;33;CLE;0,5;0,254;3,8;12;1,6
Phil Jackson;32;NYK;0,548;0,487;8,7;8,1;2,1
C,J, Kupec;25;HOU;0,461;0,168;7,7;10,5;0,8
Ben Poquette;22;DET;0,461;0,267;12,2;4,3;0,7
Bob Carrington;24;IND;0,545;0,376;4,9;13,7;1,6
Nick Weatherspoon;27;CHI;0,492;0,216;11,1;7,5;1,5
Dave Robisch;28;IND;0,469;0,354;14,1;10,6;1,5
John Shumate;25;BUF;0,576;0,656;11,6;13,4;1,1
Ralph Simpson;28;DEN;0,357;0,174;6,6;16;3,3
Al Eberhard;25;DET;0,49;0,381;9,3;5,9;1
Ron Behagen;27;ATL;0,509;0,281;16,5;9,4;2,4
Scott Lloyd;25;BUF;0,482;0,363;11,3;8,3;0,9
Cliff Pondexter;23;CHI;0,469;0,235;13,3;21,1;1,7
Wilson Washington;22;NJN;0,506;0,251;13,2;2,4;1,4
Ken Charles;26;ATL;0,456;0,272;2,5;22,5;2,2
Mo Layton;29;SAS;0,524;0,077;3,4;27,5;1,9
Charles Johnson;28;GSW;0,416;0,043;6,4;13,8;2,9
Kevin Restani;26;KCK;0,441;0,079;10,4;5,8;0,5
Wesley Cox;23;GSW;0,452;0,578;16;3,5;2,1
Gus Bailey;26;NOJ;0,46;0,482;8,8;11,6;1,8
Steve Green;24;IND;0,495;0,438;7,7;8,8;1,4
Joe Pace;24;WSB;0,528;0,664;15,1;7;1,2
Nate Williams;27;NOJ;0,458;0,173;10;11,3;2,1
Greg Griffin;25;PHO;0,392;0,213;12,6;7,1;1,6
Bird Averitt;25;NJN;0,419;0,239;3,9;23;1,8
Joe Hassett;22;SEA;0,457;0,059;4,5;15,7;2,4
Fred Saunders;26;NOJ;0,496;0,133;8,9;12;1,6
Phil Walker;21;WSB;0,438;0,596;6,7;18,6;1,6
Robert Smith;22;DEN;0,562;0,247;4,9;13,5;2,1
Freddie Boyd;27;NOJ;0,426;0,2;2,5;16,9;1,1
Louie Nelson;26;NJN;0,463;0,371;6,7;12,5;2,5
Willie Norwood;30;POR;0,461;0,465;9,6;6,9;2,4
Robert Hawkins;23;NJN;0,501;0,193;7,1;15,6;2,8
Brad Davis;22;LAL;0,484;0,403;5,4;29,1;2
Ernie DiGregorio;27;LAL;0,45;0,2;3,5;26,1;0,8
James Silas;28;SAS;0,565;0,753;3,9;14,9;1,6
Ted McClain;31;PHI;0,453;0,104;6,4;15;2,4
Mel Bennett;23;IND;0,367;0,556;15,9;9,6;1,7
Al Skinner;25;NJN;0,503;0,436;9,1;16;2
Ernie DiGregorio;27;BOS;0,462;0,119;5;34;2
Derrek Dickey;26;GSW;0,495;0,131;9,1;5,9;1,7
Marvin Barnes;25;DET;0,459;0,246;17,8;10,1;1,2
Willie Norwood;30;DET;0,464;0,354;10,9;7,1;2,2
Jim Eakins;31;SAS;0,665;0,654;9,6;8,1;0,5
Mike Green;26;SEA;0,532;0,356;11,2;5,7;1,1
Fred Saunders;26;BOS;0,376;0,187;7,7;6;1,3
Tom Boerwinkle;32;CHI;0,503;0,26;14,2;26,1;0,6
Derrek Dickey;26;CHI;0,445;0,279;11,9;6,3;0,9
Rudy White;24;HOU;0,409;0,212;5,1;13,4;1,7
Johnny Neumann;26;IND;0,442;0,209;3,2;17,3;1,2
Eddie Jordan;23;CLE;0,397;0,286;3,3;24,4;3,3
Claude Terry;28;ATL;0,405;0,162;4,9;6,1;1,7
Jim Eakins;31;MIL;0,539;0,765;9,9;9;1,1
Mark Crow;23;NJN;0,473;0,25;8,5;7,8;1,4
Zaid Abdul-Aziz;31;HOU;0,493;0,426;13,8;7;0,7
Don Chaney;31;LAL;0,401;0,167;4,2;15,1;2,7
Gary Brokaw;24;BUF;0,504;0,558;5;21,3;1,1
Kevin Porter;27;DET;0,504;0,419;6,2;36,1;1,8
Dave Wohl;28;NJN;0,446;0,353;1,6;14;1,1
Jim Ard;29;CHI;0,52;0,188;15;7,8;0
Scott Lloyd;25;MIL;0,401;0,303;12,3;9,5;1,2
Larry Moffett;23;HOU;0,374;0,588;10,1;7,5;0,9
Dale Schlueter;32;POR;0,464;0,947;10;19,9;1,3
Howard Porter;29;DET;0,391;0,163;8,3;2,5;1,2
Mike Dunleavy;23;HOU;0,45;0,372;4,7;29,7;3,7
Wally Walker;23;POR;0,483;0,195;8,8;11,1;0,9
Al Fleming;23;SEA;0,52;0,548;15,7;10,1;0
Scott Sims;22;SAS;0,46;0,577;7,2;24,7;1,4
Bobby Wilson;27;IND;0,402;0,083;6,8;12,9;1
Gus Gerard;24;BUF;0,461;0,375;8,8;15,7;1,1
Kevin Restani;26;MIL;0,45;0,071;8,8;13,5;0
Larry McNeill;27;GSW;0,512;1,056;10,6;3,7;0
Robin Jones;23;HOU;0,533;0,5;11,2;4,2;0,7
Eddie Owens;24;BUF;0,444;0,286;8,5;11;0,7
Rich Laurel;23;MIL;0,366;0,129;9,3;6,8;2,3
Louie Nelson;26;KCK;0,398;0,786;2,9;11,1;1,7
Jacky Dorsey;23;POR;0,524;0,579;10,2;8,1;0
Jim Bostic;25;DET;0,537;0,227;17,5;9,7;0
Wilson Washington;22;PHI;0,439;0,316;18,7;3,7;1,2
Larry Johnson;23;BUF;0,216;0,154;7,1;23,5;6,1
Jacky Dorsey;23;DEN;0,317;0,417;27,7;6,6;2,4
Ron Behagen;27;HOU;0,612;0,091;11,2;8,9;0
George Karl;26;SAS;0,436;0,333;8,7;18,7;1,5
Zaid Abdul-Aziz;31;BOS;0,279;0,231;31,8;16,5;1,9
Glenn Mosley;22;PHI;0,404;0,538;12,1;14,1;0
Phil Bond;23;HOU;0,333;0;10,1;11,9;2,3
Mike Dunleavy;23;PHI;0,508;0,286;3;47,8;2,6
Bob Bigelow;24;BOS;0,25;0;12;0;0
Wayman Britt;25;DET;0,383;0,4;13,1;17,7;2,8
Ticky Burden;24;NYK;0,5;0;0;7,5;2,9
Steve Kuberski;30;BOS;0,25;0;21,8;0;3,2
John Johnson;30;HOU;0,376;0,75;14,5;11,3;0
Willie Wise;30;SEA;0,105;1,333;15,3;0;0
Norm Cook;22;DEN;0,333;0;15,4;12,6;0
Andre McCarter;24;KCK;0;0;5,7;0;0
Glenn Hansen;25;KCK;0;0;5,7;12,2;4,9
Jim Ard;29;BOS;0,266;2;22,6;12,6;0
Dean Tolson;26;SEA;0;0;0;32,8;0
Bob Bigelow;24;KCK;1;0;36,5;0;0
Willie Smith;24;IND;;;0;16,2;0
Glenn Hansen;25;CHI;0;0;0;0;0
Moses Malone;23;HOU;0,604;0,612;23,2;5,9;1,1
Artis Gilmore;29;CHI;0,619;0,448;17,5;12,9;0,7
M,L, Carr;28;DET;0,561;0,381;9,5;10,8;2,8
Kareem Abdul-Jabbar;31;LAL;0,612;0,352;17,6;18,9;1,1
Norm Nixon;23;LAL;0,567;0,178;4;30,5;2,9
Randy Smith;30;SDC;0,499;0,236;5;17,6;2,6
Elvin Hayes;33;WSB;0,523;0,362;16,2;6,3;1,1
John Lucas;25;GSW;0,514;0,28;4,3;33;2,3
Kevin Porter;28;DET;0,513;0,24;3,5;47;2,3
Johnny Davis;23;IND;0,511;0,319;3,3;21,3;1,5
Cedric Maxwell;23;BOS;0,676;0,886;14,8;10,4;1,5
Jack Sikma;23;SEA;0,529;0,391;18;12,2;1,3
World B, Free;25;SDC;0,552;0,523;5,4;17,1;1,7
Larry Kenon;26;SAS;0,547;0,235;14,1;15,4;2,3
Calvin Murphy;30;HOU;0,539;0,186;3,2;17;1,8
Jamaal Wilkes;25;LAL;0,544;0,291;11,4;10,3;2,1
Sonny Parker;23;GSW;0,537;0,218;8,2;13,6;2,3
George Gervin;26;SAS;0,591;0,326;7,3;11,5;2,1
Bernard King;22;NJN;0,542;0,455;12,3;16,4;1,8
Campy Russell;27;CLE;0,542;0,412;9,6;17,6;1,6
Jim Chones;29;CLE;0,472;0,2;16,2;8,6;0,8
Otis Birdsong;23;KCK;0,544;0,28;6,8;14,4;2
Ricky Sobers;26;IND;0,523;0,283;5,5;22,4;2,2
Julius Erving;28;PHI;0,538;0,344;10,5;19,6;2,1
Tom Owens;29;POR;0,597;0,368;14,7;15,9;1
Marques Johnson;22;MIL;0,586;0,293;11,7;12,3;1,9
Kermit Washington;27;SDC;0,603;0,53;15,4;5,5;1,4
Reggie Theus;21;CHI;0,526;0,31;4,5;22,8;1,6
Dan Issel;30;DEN;0,568;0,407;14;13,3;1
Phil Ford;22;KCK;0,534;0,399;3,6;32,2;2,9
Dennis Johnson;24;SEA;0,495;0,353;7,2;14,5;1,7
Austin Carr;30;CLE;0,529;0,308;5,8;11,4;1,3
Rich Kelley;25;NOJ;0,585;0,526;18,5;14,4;2,1
Jim McElroy;25;NOJ;0,536;0,31;3,9;24,2;2,4
Alex English;25;IND;0,54;0,209;12,5;14,4;1,2
David Thompson;24;DEN;0,567;0,431;5,4;13,3;1,2
Toby Knight;23;NYK;0,539;0,175;11,1;6,6;1
Nick Weatherspoon;28;SDC;0,514;0,238;9,1;6,7;1,4
Rudy Tomjanovich;30;HOU;0,543;0,184;11,8;7,3;0,8
Paul Westphal;28;PHO;0,58;0,271;3,3;29,9;1,9
Bob Dandridge;31;WSB;0,553;0,318;8,6;19,1;1,2
Chris Ford;30;BOS;0,505;0,198;5,4;20,2;2
Sam Lacey;30;KCK;0,544;0,324;14,5;20,1;1,8
Charlie Scott;30;DEN;0,499;0,252;4,2;22;1,4
Mickey Johnson;26;CHI;0,506;0,298;13,2;21,3;1,6
Brian Winters;26;MIL;0,533;0,206;3,8;20,5;1,5
Rick Barry;34;HOU;0,504;0,169;5,9;25,7;1,7
Terry Tyler;22;DET;0,507;0,232;13,2;4,6;1,8
George McGinnis;28;DEN;0,533;0,601;17,7;16,9;2,3
James Edwards;23;IND;0,542;0,414;14;5,2;1,1
Don Buse;28;PHO;0,519;0,158;4,7;16,3;2,7
Dan Roundfield;25;ATL;0,556;0,459;18,4;7,4;1,6
Henry Bibby;29;PHI;0,493;0,386;5;19,2;1,3
Mike Bantom;27;IND;0,503;0,326;13,2;12,3;1,8
Armond Hill;25;ATL;0,518;0,422;3,5;24,8;1,9
Dave Cowens;30;BOS;0,516;0,185;14,4;13,7;1,4
John Long;22;DET;0,498;0,153;5,5;6,9;1,8
Scott Wedman;26;KCK;0,572;0,258;8,4;8;1,4
Wilbur Holland;27;CHI;0,507;0,187;5,6;19;2,3
Maurice Lucas;26;POR;0,517;0,286;16,2;13,1;1,2
Ron Brewer;23;POR;0,544;0,292;5,2;9,4;1,9
John Williamson;27;NJN;0,527;0,32;4,2;16,8;1,6
Walter Davis;24;PHO;0,606;0,3;8,5;21,1;2,7
Bob Wilkerson;24;DEN;0,482;0,199;8,9;16,1;2,2
Eddie Johnson;23;ATL;0,561;0,297;3,8;22,1;2,3
Robert Parish;25;GSW;0,529;0,253;20,4;6,9;1,9
John Drew;24;ATL;0,536;0,492;11,7;8,1;2,5
Maurice Cheeks;22;PHI;0,541;0,245;5,5;22,8;3,2
Wes Unseld;32;WSB;0,599;0,392;17,5;15,9;1,3
Jim Cleamons;29;NYK;0,513;0,26;5,1;19,7;1,4
John Johnson;31;SEA;0,484;0,305;9,1;20,3;1,1
Ray Williams;24;NYK;0,502;0,249;6,6;31;2,5
Alvan Adams;24;PHO;0,57;0,269;16,6;20,8;2,1
Bobby Jones;27;PHI;0,584;0,393;12;11,8;2,1
Phil Smith;26;GSW;0,538;0,261;5;16,2;2,1
Gus Williams;25;SEA;0,534;0,258;5,7;21,9;3,2
Eddie Jordan;24;NJN;0,47;0,285;5;23,1;3,9
Robert Reid;23;HOU;0,521;0,239;11,6;13,2;1,5
Leon Douglas;24;DET;0,529;0,47;15,6;4,3;0,8
Steve Hawes;28;ATL;0,523;0,175;14,5;11,7;1,7
Tom Boswell;25;DEN;0,577;0,471;12,8;14,7;1
Bill Robinzine;26;KCK;0,581;0,294;15,9;6,5;2,2
Caldwell Jones;28;PHI;0,512;0,254;17,9;9,1;0,8
James Silas;29;SAS;0,576;0,436;4,4;16,2;1,5
Lonnie Shelton;23;SEA;0,543;0,22;11,4;7,5;1,6
Mychal Thompson;24;POR;0,508;0,287;15,7;12,1;1,5
Kent Benson;24;MIL;0,555;0,307;15,1;12,1;1,9
Gail Goodrich;35;NOJ;0,499;0,24;4,2;23,5;1,9
Billy Paultz;30;SAS;0,541;0,256;15,5;10,5;0,7
Mike Gale;28;SAS;0,5;0,176;4,6;20,6;3,1
Tom Henderson;27;WSB;0,519;0,304;4;24,5;1,9
